Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,pts_next_poss
4,2,29,1,1,9:34,0,0,0
4,1,13,,3,8:51,10.07,3,3
4,4,37,,1,11:49,0,0,0
4,1,1,0,1,4:39,0,0,0
4,3,36,2,3,6:04,14.1,4,0
4,7,34,,1,7:40,3,-3,0
4,1,29,-1,3,5:47,13.13,0,0
4,13,42,15,4,6:15,27.2,-7,7
4,2,38,8,3,9:37,21.03,18,7
4,3,4,-2,4,0:43,38.1,28,0
4,7,33,,2,0:26,7.21,-14,0
4,9,27,10,3,6:35,7.21,-14,7
4,7,36,-4,2,10:19,3.21,18,0
4,1,33,3,4,13:15,17.38,21,3
4,12,12,2,4,1:42,17.41,24,7
4,1,17,0,1,12:09,0,0,7
4,1,-42,1,2,12:26,7.03,4,7
4,1,45,0,1,5:15,0,0,0
4,1,-40,4,2,9:15,0.07,7,7
4,6,22,0,4,5:39,24.38,14,0
4,3,40,11,2,11:10,14.07,7,0
4,3,32,4,2,6:11,14.07,7,0
4,8,30,0,2,4:02,14.07,7,0
4,6,31,7,1,6:10,0,0,7
4,2,32,15,4,0:37,31.28,3,0
4,6,31,7,1,6:10,0,0,7
4,2,32,15,4,0:37,31.28,3,0
4,4,-46,7,4,3:39,24.07,-17,0
4,7,17,7,4,1:51,24.07,-17,0
4,5,-45,13,4,8:08,44.27,-17,7
4,4,-24,6,4,5:18,51.34,-17,-7
4,10,35,14,1,0:11,14.07,-7,0
4,9,48,0,4,3:53,28.17,-11,7
4,4,30,30,3,1:25,28.13,-15,7
4,10,-25,0,4,1:49,34.24,-10,0
4,1,39,6,3,12:40,10.31,-21,7
4,7,30,,3,1:18,17.38,-21,-3
