Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,Points on next possession
4,7,41,39,3,5:52,13.06,7,0
4,2,-19,36,4,14:52,20.13,7,-3
4,1,-29,52,1,8:47,0,0,-3
4,5,-30,39,1,3:05,3,-3,0
4,8,-48,40,2,13:21,3,-3,0
4,11,-20,47,2,10:36,3,-3,0
4,10,-35,48,2,6:01,3,-3,0
4,13,-44,34,2,0:10,3,-3,0
4,6,-44,33,4,14:56,3.1,7,-7
4,5,-14,47,4,11:31,10.1,0,-3
4,12,-47,51,3,4:01,31.13,18,0
4,7,-27,47,4,11:56,38.13,25,0
4,5,-27,36,2,12:59,10.03,7,-3
4,1,-38,46,2,5:53,10.06,4,-7
4,4,-46,36,2,1:59,10.13,-3,-3
4,5,50,27,3,12:58,10.16,-6,0
4,19,48,38,2,13:06,3.14,11,0
4,16,-23,38,2,6:55,3.14,11,0
4,8,-40,41,3,12:52,6.17,11,0
4,10,41,-1,3,6:18,6.17,11,0
4,6,38,28,3,0:58,6.17,11,0
4,1,-29,52,1,8:47,0,0,-3
4,5,-30,39,1,3:05,3,-3,0
4,8,-48,40,2,13:21,3,-3,0
4,11,-20,47,2,10:36,3,-3,0
4,10,-35,48,2,6:01,3,-3,0
4,13,-44,34,2,0:10,3,-3,0
4,6,-44,33,4,14:56,3.1,7,-7
4,5,-14,47,4,11:31,10.1,0,-3
4,11,-24,50,1,3:19,3.07,-4,-7
4,3,-18,41,2,4:17,6.14,-8,0
4,20,50,32,3,12:33,13.21,-8,-3
4,8,-33,40,4,9:35,22.24,-2,0
4,10,-32,23,4,5:49,22.24,-2,0
4,7,-13,25,1,2:49,3,3,0
4,8,44,42,2,4:35,13.03,10,0
4,4,-34,52,2,0:57,13.03,10,0
4,7,45,37,3,11:45,13.03,10,-3
4,7,41,39,3,5:52,13.06,7,0
4,2,-19,36,4,14:52,20.13,7,-3
4,10,50,40,1,12:24,0,0,0
4,10,-25,46,1,4:03,3,-3,0
4,8,43,43,2,7:05,3,-3,-3
4,13,-36,44,2,0:59,6.07,1,0
4,12,-38,31,3,11:57,6.14,8,0
4,4,-25,38,3,6:55,13.17,4,0
4,9,43,28,4,15:00,13.17,4,0
4,2,-22,35,4,4:51,13.24,11,-7
4,1,-34,37,1,2:25,0,0,0
4,2,-30,50,3,3:33,21.1,11,0
4,2,41,35,4,8:53,28.1,18,0
4,20,39,39,4,5:41,28.1,18,0
4,3,-32,35,2,10:30,10.07,-3,0
4,5,-46,40,2,6:43,10.07,-3,0
4,15,36,12,2,3:14,10.07,-3,0
4,24,48,29,3,10:12,10.07,-3,0
4,5,-25,,3,4:25,10.07,-3,-3
4,8,-8,38,4,9:32,21.07,-14,-3
4,10,-25,35,4,5:38,24.07,-17,0
4,14,-21,43,1,12:52,0,0,-3
4,10,-25,51,1,7:55,0.03,-3,-7
4,9,-40,41,3,4:43,13.2,-7,0
4,7,-43,54,4,7:23,16.27,-11,2
4,2,-34,44,1,12:53,0,0,0
4,22,-23,10,2,15:00,3.03,0,-3
4,17,-33,57,2,9:28,6.03,-3,-7
4,9,-20,45,3,1:27,12.16,4,2
4,17,-30,51,4,12:50,19.16,-3,0
4,1,39,29,4,1:30,19.19,0,0
4,2,-33,52,2,6:09,3.07,4,0
4,11,-49,51,2,0:28,3.07,4,0
4,5,-41,44,4,1:44,10.17,7,0
4,10,47,31,1,3:25,7.07,0,0
4,20,48,48,2,10:47,7.07,0,0
4,4,-22,47,2,4:55,7.07,0,7
4,9,-47,32,1,10:44,0,0,-7
4,9,-3,49,2,13:36,7,-7,-7
4,2,-18,39,2,5:17,21,-21,0
4,11,-24,53,3,13:43,21.03,-18,0
4,3,-34,43,3,9:40,28.03,-25,0
4,1,-34,45,4,13:41,35.03,-32,0
4,17,-13,38,4,8:23,35.03,-32,0
4,16,-42,54,2,15:00,7,7,0
4,8,-22,54,2,10:30,14,14,-7
4,5,-30,46,2,2:20,21.14,7,0
4,3,-32,38,3,13:35,21.14,7,-3
4,4,44,33,3,0:54,24.17,7,0
4,10,50,42,4,12:29,24.17,7,0
4,1,43,26,4,1:35,27.24,3,0
4,8,-43,37,1,11:56,0,0,0
4,13,-25,39,2,15:00,7,-7,0
4,9,-4,59,2,6:55,7,-7,-7
4,11,-24,46,2,5:14,14,-14,-3
4,3,-39,47,2,0:36,17,-17,0
4,10,-16,45,3,7:36,17,-17,0
4,14,-33,48,4,13:53,17.07,-10,0
4,3,-41,49,1,3:04,14.06,8,7
4,4,-29,48,3,7:11,56.06,50,0
4,4,-26,0,4,1:06,77.06,71,0
4,9,-21,29,4,1:06,77.06,71,0
4,1,49,49,1,11:10,0,0,7
4,19,-33,60,1,1:42,7.07,0,0
4,3,49,34,2,4:49,7.17,10,7
4,12,-23,53,3,13:40,13.24,11,0
4,7,-15,56,3,8:27,13.24,11,-3
4,4,39,28,3,3:47,16.24,8,0
4,1,-23,0,4,3:24,16.38,22,0
4,6,-18,54,4,3:24,16.38,22,-6
4,10,-43,39,2,3:47,14,14,0
4,5,-32,42,4,2:14,42.1,32,0
4,4,-23,39,1,13:39,0,0,0
4,15,-27,50,1,0:57,7,7,0
4,5,-27,53,2,12:13,7,7,0
4,1,-21,56,2,8:01,21.03,18,0
4,4,-32,0,3,8:23,42.03,39,0
4,9,-27,41,3,8:23,42.03,39,0
4,7,-33,58,4,14:23,49.03,46,0
4,11,-39,42,1,10:47,0,0,0
4,21,-20,45,2,7:57,14.03,11,0
4,11,41,27,4,14:08,42.03,39,-7
4,7,-34,42,4,10:33,42.1,32,0
4,6,-41,39,1,11:14,0,0,0
4,3,-32,37,1,7:40,0,0,0
4,10,-47,40,1,6:30,0,0,0
4,12,-23,31,2,3:31,10.07,-3,-7
4,5,-42,37,3,8:29,20.07,-13,-7
4,7,-22,52,3,4:30,27.07,-20,-3
4,5,-30,34,3,0:42,30.07,-23,-7
4,14,-21,45,1,6:23,7.03,4,0
4,4,-37,28,1,2:08,7.03,4,0
4,2,-32,31,2,11:39,7.03,4,0
4,6,-38,49,2,4:27,7.03,4,0
4,12,-33,40,3,10:30,21.1,11,0
4,5,38,0,1,2:57,0.07,-7,0
4,9,43,31,1,2:57,0.07,-7,0
4,17,-18,42,2,13:11,0.07,-7,0
4,9,-22,38,3,11:32,0.17,-17,0
4,9,46,32,1,9:33,0,0,0
4,17,-34,43,2,9:18,0.07,7,-3
4,1,-34,41,3,5:52,10.17,7,-7
4,5,48,33,4,13:15,16.17,1,0
4,6,-23,39,4,9:03,16.17,1,0
4,11,-48,48,4,4:11,16.17,1,0
4,6,-45,36,1,8:30,0.1,-10,-7
4,2,-33,44,1,1:38,0.17,-17,-3
4,6,-33,37,2,6:28,7.2,-13,-3
4,12,40,30,3,9:39,14.23,-9,0
4,10,-25,49,3,4:41,14.23,-9,0
4,9,49,49,3,1:07,14.23,-9,7
4,12,36,33,4,7:55,21.23,-2,0
4,17,-14,40,1,0:58,3.1,7,0
4,12,-44,31,2,6:41,3.1,7,0
4,9,-34,44,4,14:15,16.3,14,0
4,7,-44,46,1,10:26,0,0,-7
4,7,39,30,1,2:24,7,-7,0
4,11,-23,52,2,4:19,14.03,-11,0
4,6,-42,40,3,11:41,14.03,-11,0
4,5,-25,38,3,9:12,14.03,-11,0
4,3,-17,39,3,5:26,14.03,-11,-7
4,14,-32,49,4,11:18,24.1,-14,0
4,18,-30,0,4,6:33,24.1,-14,0
4,23,-25,37,4,6:29,24.1,-14,0
4,21,-48,41,1,12:11,0,0,0
4,8,38,28,2,9:56,7,7,0
4,12,-40,50,2,5:40,7,7,-7
4,3,-48,39,4,7:20,26.1,16,0
4,3,-32,39,1,13:20,0,0,0
4,2,-38,47,1,8:55,0,0,3
4,11,-24,48,2,12:48,3.03,0,7
4,4,-35,60,2,3:44,3.1,7,0
4,3,-37,51,3,3:58,10.23,13,0
4,3,-39,41,3,11:53,20.14,6,0
4,10,48,38,4,1:57,45.21,24,0
4,10,-43,41,2,0:26,7.21,-14,0
4,8,-41,45,1,13:27,0,0,0
4,5,-45,40,1,4:49,3,-3,0
4,25,-45,53,2,11:55,10.03,-7,0
4,8,-6,39,2,8:01,10.03,-7,0
4,10,40,20,3,11:08,10.13,3,0
4,6,-23,34,3,1:10,17.2,3,-3
4,17,-10,35,4,13:07,20.2,0,0
4,6,-40,34,4,10:37,20.2,0,0
4,8,-43,48,4,9:48,20.2,0,0
4,1,-37,39,1,13:33,0,0,0
4,20,42,32,1,8:34,0,0,0
4,9,48,49,1,5:41,0,0,0
4,5,-27,47,2,13:29,0.07,-7,-7
4,10,-47,53,2,8:03,0.14,-14,0
4,10,-43,41,2,0:26,7.21,-14,0
4,4,-34,43,4,14:53,10.31,-21,-3
4,11,50,25,2,15:00,3.07,4,0
4,8,41,36,2,8:10,3.07,4,-7
4,7,-17,41,3,9:31,10.28,18,-3
4,7,-28,35,4,4:03,42.32,10,0
4,15,-41,48,1,9:33,7,-7,0
4,5,43,33,2,9:42,14,-14,0
4,15,-41,31,3,9:26,14.14,0,0
4,1,-32,44,4,5:24,21.31,10,0
4,2,-44,56,1,11:19,0,0,0
4,11,-41,47,1,1:17,7.07,0,0
4,15,-49,40,4,15:00,38.24,14,-7
4,6,-29,38,4,2:34,41.38,3,-7
4,5,-48,43,2,5:51,7.1,3,0
4,9,-26,61,3,12:14,17.1,-7,2
4,9,-46,53,3,1:27,20.19,-1,-7
4,15,-20,54,4,9:16,30.19,-11,0
4,4,-40,29,1,9:43,0.07,-7,0
4,1,-20,34,1,4:32,0.07,-7,0
4,4,-24,41,2,13:46,0.07,-7,0
4,2,-24,49,2,12:28,13.05,8,0
4,5,-33,37,3,9:39,34.18,16,-7
4,3,-41,50,1,8:06,0.03,-3,0
4,4,45,45,2,4:10,7.03,4,0
4,6,-29,49,4,13:54,35.1,25,0
4,5,39,39,4,8:40,35.1,25,0
4,2,-30,54,4,5:44,35.1,25,0
4,5,-38,57,4,1:31,35.1,25,0
4,8,39,35,1,9:42,0,0,0
4,2,-35,45,2,11:15,7,7,0
4,7,-36,35,2,1:10,14,14,0
4,6,-17,44,3,13:03,14,14,0
4,9,-47,42,3,2:46,21.07,14,0
4,15,-42,26,4,7:25,28.14,14,0
4,11,-40,37,3,13:29,21.21,0,-7
4,15,-20,44,3,5:32,35.21,-14,0
4,3,-28,69,3,2:46,35.21,-14,0
4,20,-49,44,4,8:09,35.28,-7,0
4,10,-35,47,1,5:44,3.07,-4,-3
4,3,-49,42,2,15:00,3.1,-7,0
4,5,-43,41,2,12:14,3.1,-7,-3
4,5,39,39,4,5:50,30.2,10,0
4,11,-45,48,2,4:21,21.06,15,-7
4,3,47,35,3,12:21,28.13,15,0
4,9,40,28,4,10:34,49.16,33,0
4,2,-33,33,2,11:01,7.1,3,0
